iter	Passed	Remaining
0	142	142772
1	145	72812
2	147	49164
3	149	37245
4	151	30134
5	153	25438
6	155	22089
7	158	19598
8	160	17656
9	162	16066
10	164	14776
11	166	13690
12	168	12761
13	169	11918
14	169	11160
15	172	10581
16	173	10025
17	174	9528
18	176	9108
19	177	8705
20	178	8337
21	179	7995
22	180	7684
23	181	7400
24	183	7139
25	184	6895
26	185	6668
27	185	6456
28	186	6254
29	187	6063
30	188	5886
31	189	5719
32	189	5561
33	190	5413
34	191	5268
35	191	5132
36	192	5004
37	192	4881
38	193	4764
39	193	4654
40	194	4548
41	194	4447
42	195	4351
43	196	4258
44	196	4168
45	196	4082
46	197	4001
47	197	3923
48	198	3849
49	198	3778
50	199	3710
51	199	3644
52	200	3580
53	200	3518
54	201	3459
55	201	3402
56	202	3346
57	202	3292
58	203	3239
59	203	3188
60	203	3138
61	204	3091
62	204	3045
63	205	2999
64	205	2956
65	205	2914
66	206	2873
67	206	2830
68	206	2792
69	207	2754
70	207	2719
71	208	2684
72	208	2649
73	209	2616
74	209	2584
75	209	2552
76	210	2521
77	210	2491
78	211	2462
79	211	2433
80	212	2406
81	212	2379
82	213	2353
83	213	2327
84	213	2301
85	214	2276
86	214	2251
87	214	2227
88	215	2205
89	215	2182
90	216	2160
91	216	2139
92	217	2117
93	217	2097
94	217	2076
95	218	2056
96	218	2036
97	219	2017
98	219	1998
99	220	1981
100	220	1964
101	221	1946
102	221	1929
103	222	1913
104	222	1897
105	223	1881
106	223	1865
107	224	1850
108	224	1834
109	224	1818
110	225	1804
111	225	1789
112	226	1775
113	226	1761
114	227	1748
115	227	1733
116	228	1721
117	228	1708
118	228	1695
119	229	1682
120	229	1669
121	230	1656
122	230	1642
123	230	1630
124	231	1619
125	231	1607
126	232	1596
127	232	1583
128	233	1573
129	233	1563
130	234	1552
131	234	1541
132	234	1531
133	235	1520
134	235	1510
135	236	1500
136	236	1490
137	236	1479
138	237	1470
139	237	1460
140	238	1451
141	238	1441
142	239	1432
143	239	1423
144	239	1414
145	240	1405
146	240	1397
147	241	1389
148	241	1380
149	242	1371
150	242	1363
151	242	1355
152	243	1347
153	243	1339
154	244	1331
155	244	1323
156	245	1315
157	245	1308
158	245	1300
159	246	1293
160	246	1286
161	247	1278
162	247	1271
163	248	1264
164	248	1257
165	248	1250
166	249	1243
167	249	1236
168	250	1229
169	250	1223
170	250	1216
171	251	1210
172	251	1203
173	252	1197
174	252	1191
175	253	1185
176	253	1179
177	254	1173
178	254	1167
179	255	1162
180	255	1155
181	255	1149
182	256	1144
183	256	1138
184	257	1132
185	257	1127
186	258	1122
187	258	1116
188	258	1111
189	259	1105
190	259	1100
191	260	1094
192	260	1089
193	261	1084
194	261	1079
195	261	1074
196	262	1069
197	262	1064
198	263	1058
199	263	1053
200	263	1049
201	264	1044
202	264	1039
203	265	1034
204	265	1030
205	266	1025
206	266	1020
207	266	1016
208	267	1011
209	267	1007
210	268	1003
211	268	998
212	269	994
213	269	990
214	270	986
215	270	982
216	271	978
217	271	974
218	272	970
219	272	966
220	273	962
221	273	958
222	274	954
223	274	951
224	274	947
225	275	943
226	275	939
227	276	935
228	276	932
229	277	928
230	277	924
231	278	921
232	278	917
233	279	913
234	279	910
235	280	906
236	280	902
237	280	899
238	281	895
239	281	892
240	282	888
241	282	884
242	282	881
243	283	878
244	283	874
245	284	871
246	284	867
247	285	864
248	285	861
249	285	857
250	286	854
251	286	851
252	287	847
253	287	844
254	287	841
255	288	837
256	288	834
257	289	831
258	289	828
259	290	825
260	290	822
261	290	819
262	291	816
263	291	813
264	292	810
265	292	807
266	292	804
267	293	801
268	293	798
269	294	795
270	294	792
271	295	789
272	295	786
273	295	784
274	296	781
275	296	778
276	297	775
277	297	773
278	298	770
279	298	767
280	299	765
281	299	762
282	299	759
283	300	756
284	300	754
285	301	751
286	301	749
287	302	746
288	302	744
289	302	741
290	303	739
291	303	736
292	304	733
293	304	731
294	305	728
295	305	726
296	305	723
297	306	721
298	306	719
299	307	716
300	307	714
301	307	711
302	308	709
303	308	707
304	309	704
305	309	702
306	310	699
307	310	697
308	310	695
309	311	692
310	311	690
311	312	688
312	312	686
313	313	684
314	313	682
315	314	680
316	314	678
317	315	676
318	316	674
319	316	672
320	316	670
321	317	668
322	317	665
323	318	663
324	318	661
325	318	659
326	319	657
327	319	655
328	320	653
329	320	651
330	321	649
331	321	647
332	322	645
333	322	643
334	323	641
335	323	639
336	323	637
337	324	635
338	324	633
339	325	631
340	325	629
341	326	627
342	326	625
343	327	623
344	327	621
345	327	619
346	328	618
347	328	616
348	329	614
349	329	612
350	330	610
351	330	608
352	330	606
353	331	604
354	331	602
355	332	601
356	332	599
357	333	597
358	333	595
359	334	593
360	334	591
361	334	590
362	335	588
363	335	586
364	336	584
365	336	582
366	336	581
367	337	579
368	337	577
369	338	575
370	338	573
371	338	572
372	339	570
373	339	568
374	340	567
375	340	565
376	341	563
377	341	562
378	342	560
379	342	558
380	342	557
381	343	555
382	343	553
383	344	552
384	344	550
385	345	548
386	345	547
387	345	545
388	346	544
389	346	542
390	347	540
391	347	539
392	348	537
393	348	535
394	348	534
395	349	532
396	349	531
397	350	529
398	350	527
399	350	526
400	351	524
401	351	523
402	352	521
403	352	520
404	353	519
405	353	517
406	354	516
407	354	514
408	355	513
409	355	512
410	356	510
411	356	509
412	357	507
413	357	506
414	358	504
415	358	503
416	359	502
417	359	500
418	360	499
419	360	497
420	360	496
421	361	494
422	361	493
423	362	492
424	362	490
425	363	489
426	363	487
427	363	486
428	364	484
429	364	483
430	365	482
431	365	480
432	366	479
433	366	477
434	366	476
435	367	475
436	367	473
437	368	472
438	368	471
439	369	469
440	369	468
441	369	467
442	370	465
443	370	464
444	371	463
445	371	461
446	372	460
447	372	459
448	373	457
449	373	456
450	373	455
451	374	453
452	374	452
453	375	451
